UBIGEO,DEPARTAMENTO,NOMBPROV,POBLACION,POBREZA_INF,POBREZA_SUP,POBREZA_MID
090300,HUANCAVELICA,ANGARAES,53901,42.4,52.78,47.59
130600,LA LIBERTAD,OTUZCO,85091,43.45,51.25,47.35
081100,CUSCO,PAUCARTAMBO,47579,40.67,53.11,46.89
050500,AYACUCHO,LA MAR,75277,42.35,50.98,46.67
100800,HUÁNUCO,PACHITEA,50086,40.57,52.52,46.55
131000,LA LIBERTAD,SANTIAGO DE CHUCO,55868,41.44,51.13,46.29
050900,AYACUCHO,SUCRE,9292,40.18,52.32,46.25
060500,CAJAMARCA,CONTUMAZÁ,29357,41.72,48.98,45.35
211300,PUNO,YUNGUYO,37116,36.85,53.61,45.23
030700,APURÍMAC,GRAU,21759,40.56,49.35,44.96
