Datetime,COMED_MW,FE_MW,DEOK_MW,PJMW_MW
2012-09-15,9954.958333333334,6328.0,2470.9583333333335,4435.625
2012-09-16,9429.125,6088.833333333333,2490.75,4201.083333333333
2012-09-17,11173.833333333334,7234.75,2848.3333333333335,4870.125
2012-09-18,10454.833333333334,7352.083333333333,2830.4166666666665,5092.25
2012-09-19,10429.625,6965.958333333333,2631.9166666666665,4768.916666666667
2012-09-20,10576.416666666666,7121.083333333333,2671.8333333333335,4762.125
2012-09-21,10250.208333333334,7108.75,2653.2083333333335,4838.041666666667
2012-09-22,9147.666666666666,6255.958333333333,2455.9166666666665,4472.125
2012-09-23,8647.875,5961.791666666667,2287.0416666666665,3824.2083333333335
2012-09-24,10192.833333333334,7031.458333333333,2582.5,4632.833333333333
2012-09-25,10676.208333333334,7220.916666666667,2659.7916666666665,4770.416666666667
2012-09-26,10707.5,7305.416666666667,2779.9166666666665,4855.958333333333
2012-09-27,10394.75,7076.541666666667,2844.9583333333335,4935.791666666667
2012-09-28,10302.166666666666,6922.208333333333,2690.4166666666665,4760.166666666667
2012-09-29,9312.583333333334,6088.333333333333,2456.125,4191.666666666667
2012-09-30,8741.958333333334,5867.041666666667,2348.0833333333335,4120.333333333333
2012-10-01,10179.166666666666,6951.333333333333,2604.2916666666665,4722.041666666667
2012-10-02,10515.125,7164.875,2731.25,4906.291666666667
2012-10-03,10760.0,7274.166666666667,2765.6666666666665,5107.291666666667
2012-10-04,10768.083333333334,7248.708333333333,2803.4166666666665,5048.0
2012-10-05,10256.458333333334,7069.333333333333,2760.4583333333335,4877.25
2012-10-06,9463.875,6223.541666666667,2343.2916666666665,4289.25
2012-10-07,8914.75,6209.125,2357.125,4290.333333333333
2012-10-08,10383.041666666666,7298.416666666667,2766.2083333333335,5288.208333333333
2012-10-09,10542.458333333334,7341.833333333333,2726.1666666666665,5084.333333333333
2012-10-10,10587.958333333334,7282.0,2739.625,4972.333333333333
2012-10-11,10683.375,7360.916666666667,2839.0416666666665,5035.583333333333
2012-10-12,10375.625,7144.75,2663.8333333333335,4996.875
2012-10-13,9615.541666666666,6474.625,2458.5,4703.958333333333
2012-10-14,9088.458333333334,6014.208333333333,2353.8333333333335,4263.666666666667
2012-10-15,10214.041666666666,7015.458333333333,2616.625,4711.75
2012-10-16,10569.541666666666,7257.666666666667,2687.4583333333335,4880.083333333333
2012-10-17,10617.875,7278.041666666667,2713.125,5037.208333333333
2012-10-18,10471.083333333334,7211.375,2671.375,4924.666666666667
2012-10-19,10451.041666666666,7171.583333333333,2691.25,4728.083333333333
2012-10-20,9390.375,6443.0,2513.6666666666665,4364.208333333333
2012-10-21,8896.458333333334,6125.875,2442.6666666666665,4345.291666666667
2012-10-22,10438.333333333334,7276.833333333333,2730.2083333333335,4914.333333333333
2012-10-23,10723.833333333334,7318.166666666667,2785.7083333333335,4847.5
